"","phage_seq","Source","Isolation","DetailedIsolation","Genus","Isolate.ID","Sequencing.ID","Closest.ID","Bac.size","BD.Inhibition","fullseq","length.checkv","max_score","max_score_group","hallmark","viral","cellular","prediction","rd","phage_filt","og_phage_seq","genome","secondary_cluster","representative"
"73","amPh_83","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_83.fna",18074,0.9,"dsDNAphage",3,25,22.7,"virus","rd1","phage_pass","LB_S22_18||1_partial_1","amPh_83.fna","7_0","reference_phage"
"74","amPh_84","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_84.fna",16570,0.993,"dsDNAphage",14,85.7,0,"virus","rd1","phage_pass","LB_S22_22||full","amPh_84.fna","14_0","reference_phage"
"75","amPh_85","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_85.fna",18665,0.987,"dsDNAphage",14,78.3,8.7,"virus","rd1","phage_pass","LB_S22_40||full","amPh_85.fna","15_0","reference_phage"
"76","amPh_86","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_86.fna",34541,0.887,"dsDNAphage",18,36,27.9,"virus","rd2","phage_pass","LB_S23_18||0_partial_1","amPh_86.fna","17_0","reference_phage"
"77","amPh_87","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_87.fna",16688,0.92,"dsDNAphage",2,14.8,18,"virus","rd1","phage_pass","LB_S23_4||0_partial_1","amPh_87.fna","78_0","reference_phage"
"78","amPh_88","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_88.fna",17541,0.873,"dsDNAphage",3,26,24,"virus","rd2","phage_pass","LB_S23_4||1_partial_1","amPh_88.fna","8_0","reference_phage"
"79","amPh_89","Amphibian","Amphibian","Amphibian","Massilia","HP1M","LBS27","masillia oculi strain CCUG 43427",5767644,1.06,"amPh_89.fna",36113,0.953,"dsDNAphage",6,36.4,19.3,"virus","rd1","phage_pass","LB_S27_12||0_partial_1","amPh_89.fna","79_0","reference_phage"
"80","amPh_90","Amphibian","Amphibian","Amphibian","Massilia","HP1M","LBS27","masillia oculi strain CCUG 43427",5767644,1.06,"amPh_90.fna",35677,0.933,"dsDNAphage",10,30,23.8,"virus","rd1","phage_pass","LB_S27_1||0_partial_1","amPh_90.fna","2_0","reference_phage"
"81","amPh_91","Amphibian","Amphibian","Amphibian","Massilia","HP4P","LBS28","masillia oculi strain CCUG 43427",5177753,0.96,"amPh_91.fna",44545,0.9,"dsDNAphage",10,34,35.8,"virus","rd1","phage_pass","LB_S28_21||0_partial_1","amPh_91.fna","1_1","reference_phage"
"82","amPh_92","Amphibian","Amphibian","Amphibian","Microbacterium","CC3Q","LBS31","microbacterium sp BH-3-3-3",3661248,0.04,"amPh_92.fna",38195,0.927,"dsDNAphage",6,20.5,19.3,"virus","rd1","phage_pass","LB_S31_7||0_partial_1","amPh_92.fna","80_0","reference_phage"
"83","amPh_93","Amphibian","Amphibian","Amphibian","Microbacterium","HP3T","LBS32","Microbacterium esteraromaticum strain B24",2848428,1,"amPh_93.fna",45985,0.933,"dsDNAphage",5,22.8,12.9,"virus","rd1","phage_pass","LB_S32_5||0_partial_1","amPh_93.fna","81_0","reference_phage"
"84","amPh_94","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_94.fna",6635,0.987,"dsDNAphage",0,25,0,"virus","rd1","phage_pass","LB_S34_108||full","amPh_94.fna","82_0","reference_phage"
"85","amPh_95","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_95.fna",91230,0.9,"dsDNAphage",6,25.9,18.9,"virus","rd1","phage_pass","LB_S34_3||0_partial_1","amPh_95.fna","83_0","reference_phage"
"86","amPh_96","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_96.fna",16853,1,"dsDNAphage",1,42.9,0,"virus","rd1","phage_pass","LB_S34_52||full","amPh_96.fna","84_0","reference_phage"
"87","amPh_97","Amphibian","Amphibian","Amphibian","Pedobacter","HP3C","LBS35","Peodbacter sp. D749",6009023,-0.02,"amPh_97.fna",16245,0.94,"dsDNAphage",3,58.3,25,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S35_63||full","amPh_97.fna","85_0","reference_phage"
"88","amPh_98","Amphibian","Amphibian","Amphibian","Pedobacter","HP3C","LBS35","Peodbacter sp. D749",6009023,-0.02,"amPh_98.fna",18889,0.973,"dsDNAphage",3,21.9,15.6,"virus","rd1","phage_pass","LB_S35_7||0_partial","amPh_98.fna","86_0","reference_phage"
"89","amPh_99","Amphibian","Amphibian","Amphibian","Pedobacter","HP3Q1","LBS36","Pedobacter sp. G11",5152741,0.06,"amPh_99.fna",51609,0.9,"dsDNAphage",6,27.2,14.9,"virus","rd1","phage_pass","LB_S36_46||full_1","amPh_99.fna","87_0","reference_phage"
"90","janth_13","NCBI","Enviro","SoilPlantMaybe_Michigan","Janthinobacterium","H-24","GCA_001758635","Janthinobacterium lividum",6709653,NA,"janth_13.fna",30007,0.913,"dsDNAphage",4,17.1,22,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","GCA_001758635.1_64||0_partial","janth_13.fna","36_1","NO"
"91","janth_14","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_14.fna",29128,0.913,"dsDNAphage",18,35.7,17.3,"virus","rd1","phage_pass","GCA_001854915.1_12||0_partial_1","janth_14.fna","6_0","reference_phage"
"92","janth_15","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_15.fna",39455,0.947,"dsDNAphage",10,28.3,27.2,"virus","rd1","phage_pass","GCA_001854915.1_6||0_partial_1","janth_15.fna","27_0","reference_phage"
"93","janth_16","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_16.fna",68009,0.907,"dsDNAphage",12,34.5,21.4,"virus","rd1","phage_pass","GCA_001854915.1_9||0_partial_1","janth_16.fna","29_0","reference_phage"
"94","janth_17","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_17.fna",42870,0.9,"dsDNAphage",8,39.8,14.8,"virus","rd1","phage_pass","GCA_001854915.1_9||1_partial_1","janth_17.fna","28_0","reference_phage"
"95","janth_18","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_18.fna",33543,0.913,"dsDNAphage",18,37.6,22.4,"virus","rd1","phage_pass","GCA_006152155.1_12||0_partial_1","janth_18.fna","2_0","reference_phage"
"96","janth_19","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_19.fna",68516,0.947,"dsDNAphage",9,36.8,14.5,"virus","rd1","phage_pass","GCA_006152155.1_1||0_partial_1","janth_19.fna","30_0","reference_phage"
"97","janth_2","NCBI","Host_non","Willow_NY","Janthinobacterium","RIT308","GCA_000632025","Janthinobacterium lividum",6212741,NA,"janth_2.fna",38995,0.9,"dsDNAphage",18,37.3,20.5,"virus","rd1","phage_pass","GCA_000632025.1_1||0_partial_1","janth_2.fna","7_0","reference_phage"
"98","janth_20","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_20.fna",17778,0.887,"dsDNAphage",4,25.6,15.4,"virus","rd2","phage_pass","GCA_006152155.1_1||1_partial_1","janth_20.fna","19_0","reference_phage"
"99","janth_21","NCBI","Host_non","LubomirskiaBaikalensis_SpongeRussia","Janthinobacterium","SLB01","GCA_008757015","Janthinobacterium lividum",6467981,NA,"janth_21.fna",41866,0.913,"dsDNAphage",9,31.8,28.4,"virus","rd1","phage_pass","GCA_008757015.1_1||0_partial_1","janth_21.fna","33_1","NO"
"100","janth_22","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_22.fna",18577,0.853,"dsDNAphage",3,30.2,25.6,"virus","rd2","phage_pass","GCA_011601275.1_33||0_partial_1","janth_22.fna","22_0","reference_phage"
"101","janth_23","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_23.fna",39088,0.92,"dsDNAphage",18,37.1,24.7,"virus","rd1","phage_pass","GCA_011601275.1_44||0_partial_1","janth_23.fna","3_0","reference_phage"
"102","janth_24","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_24.fna",64276,0.96,"dsDNAphage",11,40.9,14.5,"virus","rd1","phage_pass","GCA_011601275.1_9||0_partial_1","janth_24.fna","32_0","reference_phage"
"103","janth_25","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF1","GCA_013372045","Janthinobacterium lividum",6373589,NA,"janth_25.fna",45311,0.96,"dsDNAphage",9,36.6,12.2,"virus","rd1","phage_pass","GCA_013372045.1_1||0_partial_1","janth_25.fna","34_0","reference_phage"
"104","janth_26","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF1","GCA_013372045","Janthinobacterium lividum",6373589,NA,"janth_26.fna",20019,0.88,"dsDNAphage",3,20,22.2,"virus","rd2","phage_pass","GCA_013372045.1_1||1_partial_1","janth_26.fna","20_1","reference_phage"
"105","janth_27","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF1","GCA_013372045","Janthinobacterium lividum",6373589,NA,"janth_27.fna",31227,0.9,"dsDNAphage",4,15.6,35.6,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","GCA_013372045.1_1||2_partial","janth_27.fna","36_1","NO"
"106","janth_28","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_28.fna",65207,0.9,"dsDNAphage",13,26.9,23.4,"virus","rd1","phage_pass","GCA_013372065.1_1||0_partial_1","janth_28.fna","31_1","reference_phage"
"107","janth_29","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_29.fna",57151,0.947,"dsDNAphage",9,38.7,15.1,"virus","rd1","phage_pass","GCA_013372065.1_1||1_partial_1","janth_29.fna","31_2","reference_phage"
"108","janth_3","NCBI","Host_non","Willow_NY","Janthinobacterium","RIT308","GCA_000632025","Janthinobacterium lividum",6212741,NA,"janth_3.fna",16012,0.913,"dsDNAphage",3,24.4,12.2,"virus","rd1","phage_pass","GCA_000632025.1_8||0_partial_1","janth_3.fna","17_1","reference_phage"
"109","janth_30","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_30.fna",37888,0.9,"dsDNAphage",18,35.2,26.4,"virus","rd1","phage_pass","GCA_013372065.1_1||2_partial_1","janth_30.fna","4_0","reference_phage"
"110","janth_31","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_31.fna",49020,0.9,"dsDNAphage",18,39.3,22.6,"virus","rd1","phage_pass","GCA_013372065.1_1||3_partial_1","janth_31.fna","5_0","reference_phage"
"111","janth_32","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_32.fna",20032,0.893,"dsDNAphage",3,23.7,15.8,"virus","rd2","phage_pass","GCA_013372065.1_1||4_partial_1","janth_32.fna","20_2","reference_phage"
"112","janth_33","NCBI","Host_non","LubomirskiaBaikalensis_SpongeRussia","Janthinobacterium","PLB02","GCA_017356645","Janthinobacterium lividum",6417505,NA,"janth_33.fna",42764,0.94,"dsDNAphage",9,32.6,29.1,"virus","rd1","phage_pass","GCA_017356645.1_1||0_partial_1","janth_33.fna","33_1","reference_phage"
"113","janth_34","NCBI","Enviro","FreshwaterBiofilm_Idaho","Janthinobacterium","ID1246","GCA_018138675","Janthinobacterium lividum",6351292,NA,"janth_34.fna",33760,0.907,"dsDNAphage",18,35.9,25.6,"virus","rd1","phage_pass","GCA_018138675.1_12||0_partial_1","janth_34.fna","11_0","reference_phage"
"114","janth_35","NCBI","Enviro","FreshwaterBiofilm_Idaho","Janthinobacterium","ID1246","GCA_018138675","Janthinobacterium lividum",6351292,NA,"janth_35.fna",16351,0.853,"dsDNAphage",4,30.4,23.2,"virus","rd2","phage_pass","GCA_018138675.1_17||0_partial_1","janth_35.fna","35_0","reference_phage"
"115","janth_36","NCBI","Enviro","FreshwaterBiofilm_Idaho","Janthinobacterium","ID1246","GCA_018138675","Janthinobacterium lividum",6351292,NA,"janth_36.fna",19590,0.88,"dsDNAphage",3,19.6,28.3,"virus","rd2","phage_pass","GCA_018138675.1_17||1_partial_1","janth_36.fna","20_3","reference_phage"
"116","janth_37","NCBI","Enviro","CookedRice_CA","Janthinobacterium","HSC-3S05","GCA_020208155","Janthinobacterium lividum",6235214,NA,"janth_37.fna",33043,0.933,"dsDNAphage",10,34.2,24.7,"virus","rd1","phage_pass","GCA_020208155.1_11||0_partial_1","janth_37.fna","15_0","reference_phage"
"117","janth_38","NCBI","Enviro","CookedRice_CA","Janthinobacterium","HSC-3S05","GCA_020208155","Janthinobacterium lividum",6235214,NA,"janth_38.fna",24085,0.913,"dsDNAphage",9,25.5,21.3,"virus","rd1","phage_pass","GCA_020208155.1_11||1_partial_1","janth_38.fna","40_0","reference_phage"
"118","janth_39","NCBI","Enviro","CookedRice_CA","Janthinobacterium","HSC-3S05","GCA_020208155","Janthinobacterium lividum",6235214,NA,"janth_39.fna",30509,0.92,"dsDNAphage",18,35.9,23.9,"virus","rd1","phage_pass","GCA_020208155.1_42||0_partial_1","janth_39.fna","12_0","reference_phage"
"119","janth_4","NCBI","Enviro","WetSoil_Chile","Janthinobacterium","MTR","GCA_000783415","Janthinobacterium lividum",6535606,NA,"janth_4.fna",25741,0.873,"dsDNAphage",7,26.8,19.5,"virus","rd2","phage_pass","GCA_000783415.1_104||0_partial_1","janth_4.fna","21_0","reference_phage"
"120","janth_40","NCBI","Enviro","Soil_MI_ATCC_TypeStrain","Janthinobacterium","ATCC_12473","GCA_020858175","Janthinobacterium lividum",6691629,NA,"janth_40.fna",10725,0.92,"dsDNAphage",4,20.9,27.9,"virus","rd1","phage_pass","GCA_020858175.1_35||0_partial_1","janth_40.fna","1_1","reference_phage"
"121","janth_41","NCBI","Enviro","Glacier_India","Janthinobacterium","ERMR3:09","GCA_023509035","Janthinobacterium lividum",6262430,NA,"janth_41.fna",84884,0.9,"dsDNAphage",12,33.1,14.6,"virus","rd1","phage_pass","GCA_023509035.1_1||0_partial_1","janth_41.fna","23_0","reference_phage"
"122","janth_42","NCBI","Enviro","Glacier_India","Janthinobacterium","ERMR3:09","GCA_023509035","Janthinobacterium lividum",6262430,NA,"janth_42.fna",40592,0.933,"dsDNAphage",16,35.6,33.3,"virus","rd1","phage_pass","GCA_023509035.1_1||1_partial_1","janth_42.fna","9_0","reference_phage"
"123","janth_43","NCBI","Enviro","Glacier_India","Janthinobacterium","ERMR3:09","GCA_023509035","Janthinobacterium lividum",6262430,NA,"janth_43.fna",13636,0.96,"dsDNAphage",1,10.5,21.1,"virus","rd1","phage_pass","GCA_023509035.1_1||2_partial","janth_43.fna","41_0","reference_phage"
"124","janth_46","NCBI","Host_non","RootEndophyte_NA","Janthinobacterium","NFR18","GCA_900119665","Janthinobacterium lividum",6300551,NA,"janth_46.fna",20197,0.86,"dsDNAphage",4,28.9,28.9,"virus","rd2","phage_pass","GCA_900119665.1_10||0_partial_1","janth_46.fna","17_2","reference_phage"
"125","janth_47","NCBI","Enviro","Enviro_NA","Janthinobacterium","NCTC9796","GCA_900451145","Janthinobacterium lividum",6760367,NA,"janth_47.fna",12900,0.9,"dsDNAphage",4,21.6,27.5,"virus","rd1","phage_pass","GCA_900451145.1_2||0_partial_1","janth_47.fna","1_2","reference_phage"
"126","janth_48","NCBI","Enviro","Enviro_NA","Janthinobacterium","NCTC9796","GCA_900451145","Janthinobacterium lividum",6760367,NA,"janth_48.fna",30648,0.9,"dsDNAphage",4,16.3,34.9,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","GCA_900451145.1_2||1_partial","janth_48.fna","36_1","reference_phage"
"127","janth_5","NCBI","Enviro","WetSoil_Chile","Janthinobacterium","MTR","GCA_000783415","Janthinobacterium lividum",6535606,NA,"janth_5.fna",34421,0.86,"dsDNAphage",11,36.2,21.3,"virus","rd2","phage_pass","GCA_000783415.1_78||full_1","janth_5.fna","16_0","reference_phage"
"128","janth_6","NCBI","Enviro","WetSoil_Chile","Janthinobacterium","MTR","GCA_000783415","Janthinobacterium lividum",6535606,NA,"janth_6.fna",41447,0.9,"dsDNAphage",13,31.1,32.1,"virus","rd1","phage_pass","GCA_000783415.1_93||0_partial_1","janth_6.fna","14_0","reference_phage"
"129","no_phage","Amphibian","Amphibian","Amphibian","Sphingomonas","HP4T","LBS42","Sphingomonas sp. PDD-68b-1",4066677,-0.02,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"130","no_phage","Amphibian","Amphibian","Amphibian","Massilia","HP4R","JWS07","Massilia aurea strain AP13",5210595,0.84,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"131","no_phage","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11K","JWS02","",161664,NA,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"132","no_phage","Amphibian","Amphibian","Amphibian","Pedobacter","HP6J","LBS38","Pedobacter suwonensis strain Fj_001",5392608,1,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"133","no_phage","Amphibian","Amphibian","Amphibian","Bacillus","HP5F1","LBS06","Bacillus simplex NBRC 15720",5660893,0.9,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"134","no_phage","Amphibian","Amphibian","Amphibian","Massilia","HP6N","LBS29","masillia oculi strain CCUG 43427",5515830,0.83,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"135","no_phage","Amphibian","Amphibian","Amphibian","Unknown Cellulomonadaceae","CC15Q1","JWS09","Oerskovia paurometabola strain DSM 14281 16S",3639348,0.56,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"136","no_phage","NCBI","Enviro","Sediment_SouthKorea","Janthinobacterium","AMRM","GCA_030909085","Janthinobacterium lividum",6380870,NA,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"137","no_phage","NCBI","Enviro","Sediment_SouthKorea","Janthinobacterium","AMJM","GCA_030909125","Janthinobacterium lividum",6381259,NA,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"138","no_phage","Amphibian","Amphibian","Amphibian","Microbacterium","HP4V","LBS33","Microbacterium sp. 1S1",3859991,0.97,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"139","no_phage","NCBI","Enviro","Sediment_SouthKorea","Janthinobacterium","AMJK","GCA_030908825","Janthinobacterium lividum",6380747,NA,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"140","no_phage","Amphibian","Amphibian","Amphibian","Bacillus","PRE21G","LBS08","Bacillus megaterium strain FDU301",6119460,-0.08,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"141","no_phage","Amphibian","Amphibian","Amphibian","Flavobacterium","CC8A2","LBS09","Flavobacterium sp strain LC2016-12",5345135,0.58,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"142","no_phage","Amphibian","Amphibian","Amphibian","Pedobacter","HP3S","LBS37","Pedobacter sp. G11",5192781,-0.18,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"143","no_phage","Amphibian","Amphibian","Amphibian","Bacillus","HP5K2","LBS07","Bacillus simplex NBRC 15720",5663361,0.15,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
"144","no_phage","Amphibian","Amphibian","Amphibian","Microbacterium","CC8G","LBS30","microbacterium foliorum strain 122",3752593,-0.21,"no_phage.fna",0,0,"no_phage",0,0,0,"no_phage","no_phage","no_phage","no_phage",NA,NA,NA
